#Parameters = {D=8; L=80; d_a=10; e_m=9; e_s=30; gap=1.5; m_x=30; m_y=40; m_z=100; mu_m=1; mu_s=1; s_d=2}
#"Frequency / GHz"	"S1,1 [Re]"	"S1,1 [Im]"	"Ref.Imp. [Re]"	"Ref.Imp. [Im]"
#-------------------------------------------------------------------------
0.0000000000000	0.99996650218964	-0.0000000000000	73.000000000000	0.0000000000000
0.0040000001899898	0.99990034103394	-0.011441161856055	73.000000000000	0.0000000000000
0.0080000003799796	0.99970215559006	-0.022881081327796	73.000000000000	0.0000000000000
0.012000000104308	0.99937170743942	-0.034318514168262	73.000000000000	0.0000000000000
0.016000000759959	0.99890929460526	-0.045752212405205	73.000000000000	0.0000000000000
0.019999999552965	0.99831455945969	-0.057180937379599	73.000000000000	0.0000000000000
0.024000000208616	0.99758785963058	-0.068603456020355	73.000000000000	0.0000000000000
0.028000000864267	0.99672895669937	-0.080018498003483	73.000000000000	0.0000000000000
0.032000001519918	0.99573802947998	-0.091424860060215	73.000000000000	0.0000000000000
0.035999998450279	0.99461501836777	-0.10282128304243	73.000000000000	0.0000000000000
0.039999999105930	0.99336004257202	-0.11420653760433	73.000000000000	0.0000000000000
0.043999999761581	0.99197286367416	-0.12557937204838	73.000000000000	0.0000000000000
0.048000000417233	0.99045372009277	-0.13693857192993	73.000000000000	0.0000000000000
0.052000001072884	0.98880267143250	-0.14828288555145	73.000000000000	0.0000000000000
0.056000001728535	0.98701959848404	-0.15961109101772	73.000000000000	0.0000000000000
0.059999998658895	0.98510456085205	-0.17092196643353	73.000000000000	0.0000000000000
0.064000003039837	0.98305761814117	-0.18221423029900	73.000000000000	0.0000000000000
0.068000003695488	0.98087882995605	-0.19348673522472	73.000000000000	0.0000000000000
0.071999996900558	0.97856807708740	-0.20473821461201	73.000000000000	0.0000000000000
0.075999997556210	0.97612547874451	-0.21596741676331	73.000000000000	0.0000000000000
0.079999998211861	0.97355097532272	-0.22717316448689	73.000000000000	0.0000000000000
0.083999998867512	0.97084462642670	-0.23835422098637	73.000000000000	0.0000000000000
0.087999999523163	0.96800643205643	-0.24950933456421	73.000000000000	0.0000000000000
0.092000000178814	0.96503633260727	-0.26063731312752	73.000000000000	0.0000000000000
0.096000000834465	0.96193438768387	-0.27173694968224	73.000000000000	0.0000000000000
0.10000000149012	0.95870047807693	-0.28280696272850	73.000000000000	0.0000000000000
0.10400000214577	0.95533472299576	-0.29384618997574	73.000000000000	0.0000000000000
0.10800000280142	0.95183694362640	-0.30485334992409	73.000000000000	0.0000000000000
0.11200000345707	0.94820713996887	-0.31582728028297	73.000000000000	0.0000000000000
0.11599999666214	0.94444519281387	-0.32676661014557	73.000000000000	0.0000000000000
0.11999999731779	0.94055116176605	-0.33767020702362	73.000000000000	0.0000000000000
0.12399999797344	0.93652474880219	-0.34853678941727	73.000000000000	0.0000000000000
0.12800000607967	0.93236595392227	-0.35936516523361	73.000000000000	0.0000000000000
0.13199999928474	0.92807477712631	-0.37015399336815	73.000000000000	0.0000000000000
0.13600000739098	0.92365103960037	-0.38090199232101	73.000000000000	0.0000000000000
0.14000000059605	0.91909438371658	-0.39160791039467	73.000000000000	0.0000000000000
0.14399999380112	0.91440474987030	-0.40227034687996	73.000000000000	0.0000000000000
0.14800000190735	0.90958207845688	-0.41288816928864	73.000000000000	0.0000000000000
0.15199999511242	0.90462607145309	-0.42345985770226	73.000000000000	0.0000000000000
0.15600000321865	0.89953649044037	-0.43398410081863	73.000000000000	0.0000000000000
0.15999999642372	0.89431297779083	-0.44445952773094	73.000000000000	0.0000000000000
0.16400000452995	0.88895529508591	-0.45488473773003	73.000000000000	0.0000000000000
0.16799999773502	0.88346326351166	-0.46525824069977	73.000000000000	0.0000000000000
0.17200000584126	0.87783652544022	-0.47557863593102	73.000000000000	0.0000000000000
0.17599999904633	0.87207472324371	-0.48584431409836	73.000000000000	0.0000000000000
0.18000000715256	0.86617749929428	-0.49605375528336	73.000000000000	0.0000000000000
0.18400000035763	0.86014461517334	-0.50620543956757	73.000000000000	0.0000000000000
0.18799999356270	0.85397541522980	-0.51629769802094	73.000000000000	0.0000000000000
0.19200000166893	0.84766960144043	-0.52632868289948	73.000000000000	0.0000000000000
0.19599999487400	0.84122687578201	-0.53629690408707	73.000000000000	0.0000000000000
0.20000000298023	0.83464658260345	-0.54620039463043	73.000000000000	0.0000000000000
0.20399999618530	0.82792842388153	-0.55603736639023	73.000000000000	0.0000000000000
0.20800000429153	0.82107174396515	-0.56580591201782	73.000000000000	0.0000000000000
0.21199999749660	0.81407630443573	-0.57550394535065	73.000000000000	0.0000000000000
0.21600000560284	0.80694150924683	-0.58512943983078	73.000000000000	0.0000000000000
0.21999999880791	0.79966688156128	-0.59468036890030	73.000000000000	0.0000000000000
0.22400000691414	0.79225200414658	-0.60415428876877	73.000000000000	0.0000000000000
0.22800000011921	0.78469622135162	-0.61354917287827	73.000000000000	0.0000000000000
0.23199999332428	0.77699923515320	-0.62286233901978	73.000000000000	0.0000000000000
0.23600000143051	0.76916056871414	-0.63209158182144	73.000000000000	0.0000000000000
0.23999999463558	0.76117998361588	-0.64123409986496	73.000000000000	0.0000000000000
0.24400000274181	0.75305664539337	-0.65028756856918	73.000000000000	0.0000000000000
0.24799999594688	0.74479055404663	-0.65924882888794	73.000000000000	0.0000000000000
0.25200000405312	0.73638141155243	-0.66811513900757	73.000000000000	0.0000000000000
0.25600001215935	0.72782856225967	-0.67688363790512	73.000000000000	0.0000000000000
