#Parameters = {L=131.5; D=10; Gap=1.5; Z0=73}
#"Frequency / GHz"	"S1,1 (L=131.5) [Magnitude]"
#----------------------------------------------
0.10000000149012	0.18303557954950
0.10440000146627	0.17088310820776
0.10880000144243	0.15841584360303
0.11320000141859	0.14565794210863
0.11760000139475	0.13263636007082
0.12200000137091	0.11937644476135
0.12639999389648	0.10590608401563
0.13079999387264	0.092254330254743
0.13519999384880	0.078446966588973
0.13959999382496	0.064515813137073
0.14399999380112	0.050488228421924
0.14839999377728	0.036395952527457
0.15279999375343	0.022266012773776
0.15719999372959	0.0081319701063833
0.16159999370575	-0.0059768558844068
0.16599999368191	-0.020029421351914
0.17039999365807	-0.033996428513784
0.17479999363422	-0.047845354016379
0.17919999361038	-0.061546837097965
0.18359999358654	-0.075070221865934
0.18799999356270	-0.088385891659895
0.19239999353886	-0.10146287665790
0.19679999351501	-0.11427462567775
0.20119999349117	-0.12678974143564
0.20559999346733	-0.13898220583365
0.20999999344349	-0.15082504917859
0.21439999341965	-0.16229096424715
0.21879999339581	-0.17335590266390
0.22319999337196	-0.18399418633519
0.22759999334812	-0.19418503098036
0.23199999332428	-0.20390450501123
0.23639999330044	-0.21313529842006
0.24079999327660	-0.22185383692778
0.24519999325275	-0.23004678586759
0.24959999322891	-0.23769537310446
0.25400000810623	-0.24478673269191
0.25839999318123	-0.25130845183269
0.26280000805855	-0.25724795019383
0.26719999313354	-0.26259763025745
0.27160000801086	-0.26735004676534
0.27599999308586	-0.27149959681094
0.28040000796318	-0.27504316381594
0.28479999303818	-0.27797865167748
0.28920000791550	-0.28030744727205
0.29359999299049	-0.28203071961189
0.29800000786781	-0.28315438061169
0.30239999294281	-0.28368448714627
0.30680000782013	-0.28362955111701
0.31119999289513	-0.28299931735059
0.31560000777245	-0.28180592271504
0.31999999284744	-0.28006437751731
0.32440000772476	-0.27779148064655
0.32879999279976	-0.27500276225525
0.33320000767708	-0.27171838497338
0.33759999275208	-0.26796061250246
0.34200000762939	-0.26375207341442
0.34639999270439	-0.25911653916931
0.35080000758171	-0.25407873635438
0.35519999265671	-0.24866806945881
0.35960000753403	-0.24291020779620
0.36399999260902	-0.23683790588111
0.36840000748634	-0.23048077517167
0.37279999256134	-0.22387180209301
0.37720000743866	-0.21704140973603
0.38159999251366	-0.21002526288965
0.38600000739098	-0.20285889541972
0.39039999246597	-0.19557606713811
0.39480000734329	-0.18821303578660
0.39919999241829	-0.18080576517587
0.40360000729561	-0.17339283765209
0.40799999237061	-0.16601061778315
0.41240000724792	-0.15869675108216
0.41679999232292	-0.15149016105855
0.42120000720024	-0.14442688058721
0.42559999227524	-0.13754851327805
0.43000000715256	-0.13089031757045
0.43439999222755	-0.12449233768790
0.43880000710487	-0.11839217582523
0.44319999217987	-0.11262780351266
0.44760000705719	-0.10723741330282
0.45199999213219	-0.10225920230322
0.45640000700951	-0.097729488114463
0.46079999208450	-0.093687140020719
0.46520000696182	-0.090167303257345
0.46959999203682	-0.087208056421691
0.47400000691414	-0.084843929894640
0.47839999198914	-0.083112018078547
0.48280000686646	-0.082046134729080
0.48719999194145	-0.081682281017349
0.49160000681877	-0.082054321573030
0.49599999189377	-0.083197618302922
0.50040000677109	-0.085143705936913
0.50480002164841	-0.087924971888913
0.50919997692108	-0.091576551698533
0.51359999179840	-0.096128835430127
0.51800000667572	-0.10161325597064
0.52240002155304	-0.10806183423104
0.52679997682571	-0.11550403081521
0.53119999170303	-0.12397066588232
0.53560000658035	-0.13348919005070
0.54000002145767	-0.14409284928392
0.54439997673035	-0.15580677998249
0.54879999160767	-0.16866225487213
0.55320000648499	-0.18268317869589
0.55760002136230	-0.19790162736456
0.56199997663498	-0.21434127437934
0.56639999151230	-0.23203271198099
0.57080000638962	-0.25099894841827
0.57520002126694	-0.27126574790448
0.57959997653961	-0.29286258497544
0.58399999141693	-0.31581166850506
0.58840000629425	-0.34014017516550
0.59280002117157	-0.36587255928340
0.59719997644424	-0.39303496905049
0.60159999132156	-0.42164885974878
0.60600000619888	-0.45174316982446
0.61040002107620	-0.48333970020378
