#Parameters = {D=8; L=80; d_a=10; e_m=9; e_s=30; gap=1.5; m_x=30; m_y=40; m_z=100; mu_m=1; mu_s=1; s_d=2}
#"Frequency / GHz"	"S2,1 (m_z=100) [Magnitude]"
#----------------------------------------------
0.0000000000000	-79.866389449727
0.0040000001899898	-57.577893888544
0.0080000003799796	-51.579128379754
0.012000000104308	-48.065113749075
0.016000000759959	-45.573422347111
0.019999999552965	-43.643141279417
0.024000000208616	-42.068567050237
0.028000000864267	-40.739818143913
0.032000001519918	-39.591209108878
0.035999998450279	-38.580293510947
0.039999999105930	-37.678021403596
0.043999999761581	-36.863610994257
0.048000000417233	-36.121668915544
0.052000001072884	-35.440456733597
0.056000001728535	-34.810814397500
0.059999998658895	-34.225452929250
0.064000003039837	-33.678475316921
0.068000003695488	-33.165047416404
0.071999996900558	-32.681159227407
0.075999997556210	-32.223457283044
0.079999998211861	-31.789112725158
0.083999998867512	-31.375727823881
0.087999999523163	-30.981259741221
0.092000000178814	-30.603963943771
0.096000000834465	-30.242347520100
0.10000000149012	-29.895128322059
0.10400000214577	-29.561206190864
0.10800000280142	-29.239634910140
0.11200000345707	-28.929600808730
0.11599999666214	-28.630402880283
0.11999999731779	-28.341435148064
0.12399999797344	-28.062169859508
0.12800000607967	-27.792149788836
0.13199999928474	-27.530971188475
0.13600000739098	-27.278272558016
0.14000000059605	-27.033730181187
0.14399999380112	-26.797048912319
0.14800000190735	-26.567951820220
0.15199999511242	-26.346178790346
0.15600000321865	-26.131479763197
0.15999999642372	-25.923610127974
0.16400000452995	-25.722328654970
0.16799999773502	-25.527394755492
0.17200000584126	-25.338564611117
0.17599999904633	-25.155599471866
0.18000000715256	-24.978250421688
0.18400000035763	-24.806270565469
0.18799999356270	-24.639414416622
0.19200000166893	-24.477434667281
0.19599999487400	-24.320086878719
0.20000000298023	-24.167127165829
0.20399999618530	-24.018322654158
0.20800000429153	-23.873446023623
0.21199999749660	-23.732279287995
0.21600000560284	-23.594617288426
0.21999999880791	-23.460269782893
0.22400000691414	-23.329063298538
0.22800000011921	-23.200833481939
0.23199999332428	-23.075445263568
0.23600000143051	-22.952772735133
0.23999999463558	-22.832711666648
0.24400000274181	-22.715174076345
0.24799999594688	-22.600091550289
0.25200000405312	-22.487412476111
0.25600001215935	-22.377090573549
0.25999999046326	-22.269102115604
0.26399999856949	-22.163423719272
0.26800000667572	-22.060046778644
0.27200001478195	-21.958956697109
0.27599999308586	-21.860149736775
0.28000000119209	-21.763614913376
0.28400000929832	-21.669337038681
0.28799998760223	-21.577292712699
0.29199999570847	-21.487453133139
0.29600000381470	-21.399771291903
0.30000001192093	-21.314190023977
0.30399999022484	-21.230636715713
0.30799999833107	-21.149020084575
0.31200000643730	-21.069237708523
0.31600001454353	-20.991164048304
0.31999999284744	-20.914660157635
0.32400000095367	-20.839571638100
0.32800000905991	-20.765725064512
0.33199998736382	-20.692938877360
0.33599999547005	-20.621018719881
0.34000000357628	-20.549760084656
0.34400001168251	-20.478953044991
0.34799998998642	-20.408382453103
0.35199999809265	-20.337832112899
0.35600000619888	-20.267087940832
0.36000001430511	-20.195939240704
0.36399999260902	-20.124179288403
0.36800000071526	-20.051609457360
0.37200000882149	-19.978041480023
0.37599998712540	-19.903299164591
0.37999999523163	-19.827212946436
0.38400000333786	-19.749629056246
0.38800001144409	-19.670404574382
0.39199998974800	-19.589399995680
0.39599999785423	-19.506496037738
0.40000000596046	-19.421573137575
0.40400001406670	-19.334519744340
0.40799999237061	-19.245232245676
0.41200000047684	-19.153605754472
0.41600000858307	-19.059538012270
0.41999998688698	-18.962927744531
0.42399999499321	-18.863666190640
0.42800000309944	-18.761651214163
0.43200001120567	-18.656767644040
0.43599998950958	-18.548909289907
0.43999999761581	-18.437957910735
0.44400000572205	-18.323800590708
0.44800001382828	-18.206326817038
0.45199999213219	-18.085428149043
0.45600000023842	-17.961003632582
0.46000000834465	-17.832966593171
0.46399998664856	-17.701235020185
0.46799999475479	-17.565753139732
0.47200000286102	-17.426480159498
0.47600001096725	-17.283399679214
0.47999998927116	-17.136515747242
0.48399999737740	-16.985867595678
0.48800000548363	-16.831515446456
0.49200001358986	-16.673550831078
0.49599999189377	-16.512094247596
0.50000000000000	-16.347292593204
0.50400000810623	-16.179316575774
0.50800001621246	-16.008365359609
0.51200002431870	-15.834651954860
0.51599997282028	-15.658409710169
0.51999998092651	-15.479887450871
0.52399998903275	-15.299342124336
0.52799999713898	-15.117036819592
0.53200000524521	-14.933238549341
0.53600001335144	-14.748210412743
0.54000002145767	-14.562218909958
0.54400002956390	-14.375517146063
0.54799997806549	-14.188351927887
0.55199998617172	-14.000960851106
0.55599999427795	-13.813568127628
0.56000000238419	-13.626381956796
0.56400001049042	-13.439602635836
0.56800001859665	-13.253411377632
0.57200002670288	-13.067978055405
0.57599997520447	-12.883458124474
0.57999998331070	-12.699995422377
0.58399999141693	-12.517720444446
0.58799999952316	-12.336751540805
0.59200000762939	-12.157199997742
0.59600001573563	-11.979167856831
0.60000002384186	-11.802749437018
0.60399997234344	-11.628030344489
