#Parameters = {D=8; L=80; d_a=10; e_m=9; e_s=30; gap=1.5; m_x=30; m_y=40; m_z=100; mu_m=1; mu_s=1; s_d=2}
#"Frequency / GHz"	"S2,1 [Magnitude]"
#------------------------------------
0.0000000000000	-52.710362462469
0.0040000001899898	-51.718794041682
0.0080000003799796	-49.645666809759
0.012000000104308	-47.519969120449
0.016000000759959	-45.643838606017
0.019999999552965	-44.032212450652
0.024000000208616	-42.642454205828
0.028000000864267	-41.430708668334
0.032000001519918	-40.361686854295
0.035999998450279	-39.408428678808
0.039999999105930	-38.550437396625
0.043999999761581	-37.771990575976
0.048000000417233	-37.060856791351
0.052000001072884	-36.407382805838
0.056000001728535	-35.803831005013
0.059999998658895	-35.243924315098
0.064000003039837	-34.722494783388
0.068000003695488	-34.235251353323
0.071999996900558	-33.778582229851
0.075999997556210	-33.349424187263
0.079999998211861	-32.945152632740
0.083999998867512	-32.563503604490
0.087999999523163	-32.202502303399
0.092000000178814	-31.860422400155
0.096000000834465	-31.535739912278
0.10000000149012	-31.227099330167
0.10400000214577	-30.933290162138
0.10800000280142	-30.653227354166
0.11200000345707	-30.385926775315
0.11599999666214	-30.130500084865
0.11999999731779	-29.886129089598
0.12399999797344	-29.652072294455
0.12800000607967	-29.427642541309
0.13199999928474	-29.212207777040
0.13600000739098	-29.005175698859
0.14000000059605	-28.806000197456
0.14399999380112	-28.614172429496
0.14800000190735	-28.429211310933
0.15199999511242	-28.250668356869
0.15600000321865	-28.078118634287
0.15999999642372	-27.911165327678
0.16400000452995	-27.749430129859
0.16799999773502	-27.592558612212
0.17200000584126	-27.440213127961
0.17599999904633	-27.292074126430
0.18000000715256	-27.147843001600
0.18400000035763	-27.007231540029
0.18799999356270	-26.869972744279
0.19200000166893	-26.735809987688
0.19599999487400	-26.604508655564
0.20000000298023	-26.475839687451
0.20399999618530	-26.349596985586
0.20800000429153	-26.225582474059
0.21199999749660	-26.103613309913
0.21600000560284	-25.983522438671
0.21999999880791	-25.865155495705
0.22400000691414	-25.748372087038
0.22800000011921	-25.633043689369
0.23199999332428	-25.519057672552
0.23600000143051	-25.406309426239
0.23999999463558	-25.294713790917
0.24400000274181	-25.184189892934
0.24799999594688	-25.074677043892
0.25200000405312	-24.966122765074
0.25600001215935	-24.858480878282
0.25999999046326	-24.751725485923
0.26399999856949	-24.645830690257
0.26800000667572	-24.540788684863
0.27200001478195	-24.436594993688
0.27599999308586	-24.333253134987
0.28000000119209	-24.230777010444
0.28400000929832	-24.129183164318
0.28799998760223	-24.028500294608
0.29199999570847	-23.928753708461
0.29600000381470	-23.829981119666
0.30000001192093	-23.732216064610
0.30399999022484	-23.635499165022
0.30799999833107	-23.539873519480
0.31200000643730	-23.445378380574
0.31600001454353	-23.352059127799
0.31999999284744	-23.259952914509
0.32400000095367	-23.169105059532
0.32800000905991	-23.079548177295
0.33199998736382	-22.991322081675
0.33599999547005	-22.904454186075
0.34000000357628	-22.818972997104
0.34400001168251	-22.734900270589
0.34799998998642	-22.652251160616
0.35199999809265	-22.571038101527
0.35600000619888	-22.491258349918
0.36000001430511	-22.412910042857
0.36399999260902	-22.335981242298
0.36800000071526	-22.260444950766
0.37200000882149	-22.186275036910
0.37599998712540	-22.113423204012
0.37999999523163	-22.041842326820
0.38400000333786	-21.971468278123
0.38800001144409	-21.902223759564
0.39199998974800	-21.834024995812
0.39599999785423	-21.766769132570
0.40000000596046	-21.700346492737
0.40400001406670	-21.634630305404
0.40799999237061	-21.569482551086
0.41200000047684	-21.504750177642
0.41600000858307	-21.440270708578
0.41999998688698	-21.375861219760
0.42399999499321	-21.311333282319
0.42800000309944	-21.246477489538
0.43200001120567	-21.181081017915
0.43599998950958	-21.114914941116
0.43999999761581	-21.047734738242
0.44400000572205	-20.979297346949
0.44800001382828	-20.909342969818
0.45199999213219	-20.837607462651
0.45600000023842	-20.763827306933
0.46000000834465	-20.687728939036
0.46399998664856	-20.609043961264
0.46799999475479	-20.527507449746
0.47200000286102	-20.442853841349
0.47600001096725	-20.354832967149
0.47999998927116	-20.263202466515
0.48399999737740	-20.167734751443
0.48800000548363	-20.068221621876
0.49200001358986	-19.964473667758
0.49599999189377	-19.856324788437
0.50000000000000	-19.743636234618
0.50400000810623	-19.626293902370
0.50800001621246	-19.504215822156
0.51200002431870	-19.377348805174
0.51599997282028	-19.245676160331
0.51999998092651	-19.109210741212
0.52399998903275	-18.967993646310
0.52799999713898	-18.822102461142
0.53200000524521	-18.671644437473
0.53600001335144	-18.516753191741
0.54000002145767	-18.357590809969
0.54400002956390	-18.194342062034
0.54799997806549	-18.027215559369
0.55199998617172	-17.856435038059
0.55599999427795	-17.682243372410
0.56000000238419	-17.504894744878
0.56400001049042	-17.324654295771
0.56800001859665	-17.141795011573
0.57200002670288	-16.956589615058
0.57599997520447	-16.769321442769
0.57999998331070	-16.580261888716
0.58399999141693	-16.389689217563
0.58799999952316	-16.197874399787
0.59200000762939	-16.005078337317
0.59600001573563	-15.811558950056
0.60000002384186	-15.617563664400
0.60399997234344	-15.423331619308
0.60799998044968	-15.229089635292
0.61199998855591	-15.035054272776
0.61599999666214	-14.841433374267
0.62000000476837	-14.648418070912
0.62400001287460	-14.456195341033
0.62800002098083	-14.264934763316
0.63200002908707	-14.074798486657
0.63599997758865	-13.885934501378
0.63999998569489	-13.698483240068
0.64399999380112	-13.512574713024
0.64800000190735	-13.328327297761
0.65200001001358	-13.145848955628
0.65600001811981	-12.965243900754
0.66000002622604	-12.786603238505
0.66399997472763	-12.610012519704
