#Parameters = {D=8; L=80; d_a=10; e_m=9; e_s=30; gap=1.5; m_x=30; m_y=40; m_z=100; mu_m=1; mu_s=1; s_d=2}
#"Frequency / GHz"	"S2,1 [Re]"	"S2,1 [Im]"
#-----------------------------------------
0.0000000000000	0.0022432196419686	-0.0000000000000
0.0040000001899898	0.0022244465071708	-0.0012041338486597
0.0080000003799796	0.0021681843791157	-0.0024065410252661
0.012000000104308	0.0020746020600200	-0.0036055040545762
0.016000000759959	0.0019439804600552	-0.0047993212938309
0.019999999552965	0.0017767149256542	-0.0059863165952265
0.024000000208616	0.0015732989413664	-0.0071648475714028
0.028000000864267	0.0013343433383852	-0.0083333123475313
0.032000001519918	0.0010605477727950	-0.0094901593402028
0.035999998450279	0.00075272319372743	-0.010633892379701
0.039999999105930	0.00041175799560733	-0.011763077229261
0.043999999761581	3.8640591810690e-05	-0.012876350432634
0.048000000417233	-0.00036556331906468	-0.013972424902022
0.052000001072884	-0.00079971714876592	-0.015050097368658
0.056000001728535	-0.0012626129901037	-0.016108246520162
0.059999998658895	-0.0017529772594571	-0.017145844176412
0.064000003039837	-0.0022694831714034	-0.018161961808801
0.068000003695488	-0.0028107606340200	-0.019155761227012
0.071999996900558	-0.0033754010219127	-0.020126515999436
0.075999997556210	-0.0039619500748813	-0.021073596552014
0.079999998211861	-0.0045689572580159	-0.021996475756168
0.083999998867512	-0.0051949336193502	-0.022894743829966
0.087999999523163	-0.0058383890427649	-0.023768084123731
0.092000000178814	-0.0064978548325598	-0.024616297334433
0.096000000834465	-0.0071718422695994	-0.025439282879233
0.10000000149012	-0.0078589012846351	-0.026237038895488
0.10400000214577	-0.0085575897246599	-0.027009673416615
0.10800000280142	-0.0092665078118443	-0.027757387608290
0.11200000345707	-0.0099843181669712	-0.028480470180511
0.11599999666214	-0.010709697380662	-0.029179308563471
0.11999999731779	-0.011441376991570	-0.029854374006391
0.12399999797344	-0.012178165838122	-0.030506204813719
0.12800000607967	-0.012918937951326	-0.031135438010097
0.13199999928474	-0.013662624172866	-0.031742747873068
0.13600000739098	-0.014408228918910	-0.032328892499208
0.14000000059605	-0.015154859982431	-0.032894674688578
0.14399999380112	-0.015901658684015	-0.033440954983234
0.14800000190735	-0.016647925600410	-0.033968620002270
0.15199999511242	-0.017392966896296	-0.034478597342968
0.15600000321865	-0.018136229366064	-0.034971836954355
0.15999999642372	-0.018877224996686	-0.035449296236038
0.16400000452995	-0.019615588709712	-0.035911966115236
0.16799999773502	-0.020350992679596	-0.036360822618008
0.17200000584126	-0.021083224564791	-0.036796830594540
0.17599999904633	-0.021812161430717	-0.037220962345600
0.18000000715256	-0.022537747398019	-0.037634152919054
0.18400000035763	-0.023260027170181	-0.038037311285734
0.18799999356270	-0.023979099467397	-0.038431316614151
0.19200000166893	-0.024695167317986	-0.038817018270493
0.19599999487400	-0.025408450514078	-0.039195198565722
0.20000000298023	-0.026119263842702	-0.039566610008478
0.20399999618530	-0.026827970519662	-0.039931926876307
0.20800000429153	-0.027535000815988	-0.040291793644428
0.21199999749660	-0.028240820392966	-0.040646750479937
0.21600000560284	-0.028945894911885	-0.040997307747602
0.21999999880791	-0.029650755226612	-0.041343886405230
0.22400000691414	-0.030355961993337	-0.041686851531267
0.22800000011921	-0.031062055379152	-0.042026467621326
0.23199999332428	-0.031769633293152	-0.042362958192825
0.23600000143051	-0.032479237765074	-0.042696457356215
0.23999999463558	-0.033191442489624	-0.043027028441429
0.24400000274181	-0.033906772732735	-0.043354671448469
0.24799999594688	-0.034625757485628	-0.043679304420948
0.25200000405312	-0.035348918288946	-0.044000800698996
0.25600001215935	-0.036076664924622	-0.044318955391645
0.25999999046326	-0.036809451878071	-0.044633511453867
0.26399999856949	-0.037547592073679	-0.044944185763597
0.26800000667572	-0.038291424512863	-0.045250609517097
0.27200001478195	-0.039041228592396	-0.045552384108305
0.27599999308586	-0.039797134697437	-0.045849103480577
0.28000000119209	-0.040559284389019	-0.046140298247337
0.28400000929832	-0.041327729821205	-0.046425517648458
0.28799998760223	-0.042102433741093	-0.046704281121492
0.29199999570847	-0.042883284389973	-0.046976104378700
0.29600000381470	-0.043670110404491	-0.047240506857634
0.30000001192093	-0.044462647289038	-0.047497034072876
0.30399999022484	-0.045260574668646	-0.047745242714882
0.30799999833107	-0.046063467860222	-0.047984737902880
0.31200000643730	-0.046870850026608	-0.048215139657259
0.31600001454353	-0.047682128846645	-0.048436164855957
0.31999999284744	-0.048496730625629	-0.048647534102201
0.32400000095367	-0.049313917756081	-0.048849090933800
0.32800000905991	-0.050133027136326	-0.049040671437979
0.33199998736382	-0.050953183323145	-0.049222286790609
0.33599999547005	-0.051773555576801	-0.049394018948078
0.34000000357628	-0.052593320608139	-0.049555972218513
0.34400001168251	-0.053411558270454	-0.049708429723978
0.34799998998642	-0.054227311164141	-0.049851786345243
0.35199999809265	-0.055039688944817	-0.049986481666565
0.35600000619888	-0.055847749114037	-0.050113145262003
0.36000001430511	-0.056650582700968	-0.050232492387295
0.36399999260902	-0.057447280734777	-0.050345372408628
0.36800000071526	-0.058236993849277	-0.050452776253223
0.37200000882149	-0.059018939733505	-0.050555747002363
0.37599998712540	-0.059792328625917	-0.050655558705330
0.37999999523163	-0.060556482523680	-0.050753537565470
0.38400000333786	-0.061310842633247	-0.050851143896580
0.38800001144409	-0.062054924666882	-0.050949953496456
0.39199998974800	-0.062788277864456	-0.051051687449217
0.39599999785423	-0.063510701060295	-0.051158145070076
0.40000000596046	-0.064222052693367	-0.051271192729473
0.40400001406670	-0.064922317862511	-0.051392879337072
0.40799999237061	-0.065611705183983	-0.051525246351957
0.41200000047684	-0.066290564835072	-0.051670454442501
0.41600000858307	-0.066959403455257	-0.051830742508173
0.41999998688698	-0.067618943750858	-0.052008345723152
0.42399999499321	-0.068270079791546	-0.052205558866262
0.42800000309944	-0.068913958966732	-0.052424743771553
0.43200001120567	-0.069551900029182	-0.052668202668428
0.43599998950958	-0.070185445249081	-0.052938256412745
0.43999999761581	-0.070816360414028	-0.053237222135067
0.44400000572205	-0.071446679532528	-0.053567364811897
0.44800001382828	-0.072078615427017	-0.053930852562189
0.45199999213219	-0.072714619338512	-0.054329842329025
0.45600000023842	-0.073357440531254	-0.054766338318586
0.46000000834465	-0.074009947478771	-0.055242270231247
0.46399998664856	-0.074675351381302	-0.055759400129318
0.46799999475479	-0.075356990098953	-0.056319359689951
0.47200000286102	-0.076058506965637	-0.056923620402813
0.47600001096725	-0.076783701777458	-0.057573445141315
0.47999998927116	-0.077536590397358	-0.058269865810871
0.48399999737740	-0.078321434557438	-0.059013701975346
0.48800000548363	-0.079142592847347	-0.059805564582348
0.49200001358986	-0.080004617571831	-0.060645740479231
0.49599999189377	-0.080912254750729	-0.061534266918898
0.50000000000000	-0.081870406866074	-0.062470868229866
0.50400000810623	-0.082883991301060	-0.063454948365688
0.50800001621246	-0.083958178758621	-0.064485609531403
0.51200002431870	-0.085098117589951	-0.065561592578888
0.51599997282028	-0.086309023201466	-0.066681288182735
0.51999998092651	-0.087596200406551	-0.067842699587345
0.52399998903275	-0.088964991271496	-0.069043494760990
0.52799999713898	-0.090420626103878	-0.070280946791172
0.53200000524521	-0.091968439519405	-0.071551851928234
0.53600001335144	-0.093613594770432	-0.072852768003941
0.54000002145767	-0.095361255109310	-0.074179701507092
0.54400002956390	-0.097216442227364	-0.075528368353844
0.54799997806549	-0.099184066057205	-0.076893977820873
0.55199998617172	-0.10126879066229	-0.078271411359310
0.55599999427795	-0.10347512364388	-0.079655207693577
0.56000000238419	-0.10580743104219	-0.081039339303970
0.56400001049042	-0.10826974362135	-0.082417562603951
0.56800001859665	-0.11086587607861	-0.083783164620399
0.57200002670288	-0.11359918862581	-0.085129126906395
0.57599997520447	-0.11647287011147	-0.086448006331921
0.57999998331070	-0.11948975175619	-0.087732106447220
0.58399999141693	-0.12265215069056	-0.088973358273506
0.58799999952316	-0.12596203386784	-0.090163469314575
0.59200000762939	-0.12942093610764	-0.091293752193451
0.59600001573563	-0.13303001224995	-0.092355288565159
0.60000002384186	-0.13678976893425	-0.093339085578918
0.60399997234344	-0.14070032536983	-0.094235762953758
0.60799998044968	-0.14476127922535	-0.095035821199417
0.61199998855591	-0.14897161722183	-0.095729678869247
0.61599999666214	-0.15332980453968	-0.096307523548603
0.62000000476837	-0.15783372521400	-0.096759594976902
0.62400001287460	-0.16248075664043	-0.097075968980789
0.62800002098083	-0.16726760566235	-0.097246751189232
0.63200002908707	-0.17219035327435	-0.097262062132359
0.63599997758865	-0.17724455893040	-0.097112096846104
0.63999998569489	-0.18242509663105	-0.096787132322788
0.64399999380112	-0.18772631883621	-0.096277579665184
0.64800000190735	-0.19314184784889	-0.095573917031288
0.65200001001358	-0.19866475462914	-0.094667054712772
0.65600001811981	-0.20428755879402	-0.093547925353050
0.66000002622604	-0.21000204980373	-0.092207916080952
0.66399997472763	-0.21579962968826	-0.090638555586338
0.66799998283386	-0.22167098522186	-0.088831931352615
0.67199999094009	-0.22760622203350	-0.086780413985252
0.67599999904633	-0.23359508812428	-0.084476746618748
0.68000000715256	-0.23962655663490	-0.081914298236370
0.68400001525879	-0.24568936228752	-0.079086825251579
0.68800002336502	-0.25177156925201	-0.075988657772541
0.69199997186661	-0.25786098837852	-0.072614617645741
0.69599997997284	-0.26394483447075	-0.068960294127464
0.69999998807907	-0.27000999450684	-0.065021820366383
0.70399999618530	-0.27604317665100	-0.060795783996582
0.70800000429153	-0.28203049302101	-0.056279912590981
0.71200001239777	-0.28795796632767	-0.051472131162882
0.71600002050400	-0.29381135106087	-0.046371415257454
0.72000002861023	-0.29957616329193	-0.040977451950312
0.72399997711182	-0.30523782968521	-0.035290542989969
0.72799998521805	-0.31078156828880	-0.029311761260033
0.73199999332428	-0.31619256734848	-0.023043205961585
0.73600000143051	-0.32145610451698	-0.016487549990416
0.74000000953674	-0.32655733823776	-0.0096482690423727
0.74400001764297	-0.33148148655891	-0.0025298714172095
0.74800002574921	-0.33621397614479	0.0048627145588398
0.75199997425079	-0.34074029326439	0.012523450888693
0.75599998235703	-0.34504622220993	0.020445419475436
0.75999999046326	-0.34911775588989	0.028621412813663
0.76399999856949	-0.35294115543365	0.037042960524559
0.76800000667572	-0.35650303959846	0.045701008290052
0.77200001478195	-0.35979050397873	0.054585598409176
0.77600002288818	-0.36279094219208	0.063686214387417
0.77999997138977	-0.36549228429794	0.072991773486137
0.78399997949600	-0.36788305640221	0.082490056753159
0.78799998760223	-0.36995214223862	0.092168778181076
0.79199999570847	-0.37168917059898	0.10201440006495
0.79600000381470	-0.37308448553085	0.11201320588589
0.80000001192093	-0.37412884831429	0.12215075641870
0.80400002002716	-0.37481397390366	0.13241212069988
0.80800002813339	-0.37513205409050	0.14278201758862
0.81199997663498	-0.37507638335228	0.15324430167675
0.81599998474121	-0.37464070320129	0.16378304362297
0.81999999284744	-0.37381985783577	0.17438127100468
0.82400000095367	-0.37260919809341	0.18502229452133
0.82800000905991	-0.37100535631180	0.19568872451782
0.83200001716614	-0.36900535225868	0.20636324584484
0.83600002527237	-0.36660754680634	0.21702818572521
0.83999997377396	-0.36381095647812	0.22766555845737
0.84399998188019	-0.36061534285545	0.23825787007809
0.84799998998642	-0.35702174901962	0.24878711998463
0.85199999809265	-0.35303187370300	0.25923547148705
0.85600000619888	-0.34864827990532	0.26958519220352
0.86000001430511	-0.34387475252151	0.27981862425804
0.86400002241135	-0.33871561288834	0.28991830348969
0.86799997091293	-0.33317634463310	0.29986691474915
0.87199997901917	-0.32726299762726	0.30964761972427
0.87599998712540	-0.32098272442818	0.31924369931221
0.87999999523163	-0.31434345245361	0.32863897085190
0.88400000333786	-0.30735385417938	0.33781749010086
0.88800001144409	-0.30002349615097	0.34676387906075
0.89200001955032	-0.29236268997192	0.35546326637268
0.89600002765656	-0.28438228368759	0.36390122771263
